RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
27825,RILEY,M,2015,Beagle,,10128,07/16/2017,08/30/2019,2018
28119,SARA,F,2005,Unknown,,11222,07/18/2017,08/30/2019,2018
28208,HARRY,M,2006,Unknown,,10011,07/18/2017,08/30/2019,2018
28287,MOLLY,F,2008,Unknown,,10011,07/19/2017,08/30/2019,2018
28300,LILI,F,2010,Chihuahua,,11102,07/19/2017,08/30/2019,2018
28772,AUDREY,F,2004,Chihuahua,,10471,07/23/2017,08/30/2019,2018
28923,DUFFY,M,2004,West High White Terrier,,10022,07/24/2017,08/30/2019,2018
29079,MOE,M,2005,Unknown,,10025,07/25/2017,08/30/2019,2018
29107,COWBOY,M,2006,Beagle,,11102,07/26/2017,08/30/2019,2018
29143,MURPHY,M,2003,Shih Tzu,,11364,07/26/2017,08/30/2019,2018
29195,PRINCESS,F,2007,Labrador Retriever Crossbreed,,11234,07/26/2017,08/30/2019,2018
29684,TAWNY,F,2010,German Shepherd Crossbreed,,10306,07/31/2017,08/30/2019,2018
29686,INDIE,F,2002,Jack Russell Terrier,,10023,07/31/2017,08/30/2019,2018
29961,MHEKI,M,2005,Pug,,11420,08/01/2017,08/30/2019,2018
30176,KONA,M,2004,Golden Retriever,,10024,08/02/2017,08/30/2019,2018
30185,CHASE,M,2007,Yorkshire Terrier,,10026,08/02/2017,08/30/2019,2018
30389,DUKE,M,2007,Labrador Retriever,,11412,08/04/2017,08/30/2019,2018
30535,WAFFLES,F,2010,Unknown,,11105,08/05/2017,08/30/2019,2018
31173,MAGGIE,F,2005,Labrador Retriever,,11423,08/09/2017,08/30/2019,2018
32238,LILY,F,2005,Unknown,,11373,08/17/2017,08/30/2019,2018
33529,MOOSE,F,1999,Labrador Retriever Crossbreed,,11234,08/30/2017,08/30/2019,2018
33557,SASHA,F,2006,Miniature Pinscher,,11414,08/30/2017,08/30/2019,2018
33572,THEO,M,2016,French Bulldog,,10011,08/30/2017,08/30/2019,2018
33584,BARDI,M,2003,Cocker Spaniel,,11693,08/30/2017,08/30/2019,2018
33619,REMY,F,2014,French Bulldog,,10011,08/30/2017,08/30/2019,2018
33650,DUNCAN,M,2011,Cavalier King Charles Spaniel,,10010,08/31/2017,08/30/2019,2018
35974,AJAX,M,2007,Pug,,10011,09/18/2017,08/30/2019,2018
36431,KELSEY,F,2001,Unknown,,10305,09/22/2017,08/30/2019,2018
36803,GINGER,F,2016,Maltipoo,,10065,09/25/2017,08/30/2019,2018
36888,JUSSI,M,2007,Chihuahua,,11232,09/25/2017,08/30/2019,2018
37694,BAMBI,F,2008,Chihuahua,,10011,10/05/2017,08/30/2019,2018
37769,SASHA,F,2008,Chihuahua,,10011,10/05/2017,08/30/2019,2018
37819,MACK,M,2006,Labrador Retriever,,10280,10/06/2017,08/30/2019,2018
40422,ASHER,M,2006,Unknown,,11234,10/31/2017,08/30/2019,2018
58062,DIVER,M,2007,Unknown,,10003,03/05/2018,08/30/2019,2018
66745,LEYLA,F,2016,Miniature Schnauzer,,11379,04/16/2018,08/30/2019,2018
76135,MICHOUX,M,2007,Yorkshire Terrier,,11375,06/01/2018,08/30/2019,2018
76577,FRANNY,F,2006,Unknown,,11201,06/04/2018,08/30/2019,2018
78165,CHIPPER,M,2006,Shih Tzu,,11367,06/11/2018,08/30/2019,2018
78198,DAISY,F,2007,Chihuahua,,10471,06/11/2018,08/30/2019,2018
80745,BEANZ,F,2006,Unknown,,11378,06/23/2018,08/30/2019,2018
82008,JEFFERSON,M,2006,Unknown,,11385,06/30/2018,08/30/2019,2018
82118,HONEY,F,2008,Labrador Retriever Crossbreed,,10034,07/01/2018,08/30/2019,2018
82226,BELLAGIOIA,F,2005,"Poodle, Toy",,10021,07/02/2018,08/30/2019,2018
82531,MOLLY,F,2006,Shih Tzu,,10314,07/03/2018,08/30/2019,2018
82907,GEORGIA,F,2006,Unknown,,11366,07/05/2018,08/30/2019,2018
82908,DEXTER,M,2003,Maltese,,11432,07/05/2018,08/30/2019,2018
82909,MARIAH,F,2001,Unknown,,10307,07/05/2018,08/30/2019,2018
82911,RASCAL,M,2007,Pug,,11367,07/05/2018,08/30/2019,2018
82912,LAKOTA,F,2007,Siberian Husky,,11356,07/05/2018,08/30/2019,2018
83000,MAYA,F,2006,Unknown,,10023,07/05/2018,08/30/2019,2018
83040,YIK,F,2003,Miniature Pinscher,,11204,07/05/2018,08/30/2019,2018
83041,LUCY,F,2004,"Poodle, Miniature",,11201,07/05/2018,08/30/2019,2018
83075,BISCUIT,M,2007,Pug,,11367,07/05/2018,08/30/2019,2018
83108,HAPPY,F,2004,"Collie, Border",,11385,07/05/2018,08/30/2019,2018
83110,MAX,M,2004,Pekingese,,10312,07/05/2018,08/30/2019,2018
83154,MOMMY,F,2010,Shih Tzu,,11224,07/06/2018,08/30/2019,2018
83155,GINGER,F,2012,Golden Retriever,,10028,07/06/2018,08/30/2019,2018
83158,CHLOE,F,2007,Silky Terrier,,10304,07/06/2018,08/30/2019,2018
83163,DIAMOND,F,2007,American Pit Bull Terrier/Pit Bull,,10037,07/06/2018,08/30/2019,2018
83165,MILO,M,2007,Yorkshire Terrier,,11102,07/06/2018,08/30/2019,2018
83171,LUCY,F,2015,Beagle Crossbreed,,10011,07/06/2018,08/30/2019,2018
83185,LADY,F,2003,Cocker Spaniel,,11234,07/06/2018,08/30/2019,2018
83206,TUBBY,F,2007,Unknown,,10461,07/06/2018,08/30/2019,2018
83239,BUTTON,F,2007,Maltese,,11214,07/06/2018,08/30/2019,2018
83279,JINKIES,M,2004,Lhasa Apso,,11367,07/06/2018,08/30/2019,2018
83280,NUGGET,F,2006,German Shepherd Crossbreed,,10312,07/06/2018,08/30/2019,2018
83281,SILION,F,2002,"Poodle, Standard",,10010,07/06/2018,08/30/2019,2018
83285,EDDIE,M,2006,Unknown,,10453,07/06/2018,08/30/2019,2018
83311,FERRIS,M,2003,Unknown,,11694,07/06/2018,08/30/2019,2018
83312,CODY,M,2005,Unknown,,10024,07/06/2018,08/30/2019,2018
83314,JR.,M,2002,Pomeranian,,11228,07/06/2018,08/30/2019,2018
83365,HAPPY,F,2006,Shih Tzu,,11367,07/06/2018,08/30/2019,2018
83396,SOPHIA,F,2006,Pomeranian,,10128,07/07/2018,08/30/2019,2018
83397,LUCKY,M,2005,Unknown,,11223,07/07/2018,08/30/2019,2018
83403,GWEN,F,2004,Beagle,,10128,07/07/2018,08/30/2019,2018
83406,PATCHES,F,2004,Shih Tzu,,10028,07/07/2018,08/30/2019,2018
83408,GRACIE,F,2004,Papillon,,10280,07/07/2018,08/30/2019,2018
83466,BRADY,M,2006,Beagle,,10024,07/07/2018,08/30/2019,2018
83467,TITAN,M,2005,Unknown,,10025,07/07/2018,08/30/2019,2018
83505,CHILI,F,2004,Unknown,,11358,07/07/2018,08/30/2019,2018
83506,KEIKO,F,2004,Unknown,,10012,07/07/2018,08/30/2019,2018
83513,TALLULAH,F,2005,Unknown,,10025,07/07/2018,08/30/2019,2018
83514,CHRYSSIE,F,2000,Unknown,,11365,07/07/2018,08/30/2019,2018
83516,COJO,M,2013,Unknown,,11207,07/07/2018,08/30/2019,2018
83541,CINNAMON,F,2006,Unknown,,11367,07/08/2018,08/30/2019,2018
83542,ZOE,F,2006,Jack Russell Terrier,,11377,07/08/2018,08/30/2019,2018
83576,ARETHA,F,2004,West High White Terrier,,10037,07/08/2018,08/30/2019,2018
83579,HENRY,M,2012,Cavalier King Charles Spaniel,,10023,07/08/2018,08/30/2019,2018
83648,JUMPING,M,2004,Labrador Retriever Crossbreed,,11361,07/08/2018,08/30/2019,2018
83683,DELILAH,F,2003,Unknown,,10025,07/09/2018,08/30/2019,2018
83712,MINNIE,F,2004,Yorkshire Terrier,,10312,07/09/2018,08/30/2019,2018
83713,TIAN,M,2005,Labrador Retriever,,11231,07/09/2018,08/30/2019,2018
83738,CISCO,M,2004,Chihuahua,,10005,07/09/2018,08/30/2019,2018
83739,LATTE,M,2005,"Schnauzer, Miniature",,10469,07/09/2018,08/30/2019,2018
83782,LULU,F,2006,Puggle,,10308,07/09/2018,08/30/2019,2018
83785,SPOTTIE,M,2003,"Schnauzer, Miniature",,11106,07/09/2018,08/30/2019,2018
83798,LUCKY,M,2010,Unknown,,11369,07/09/2018,08/30/2019,2018
83800,SHAI,F,2002,Unknown,,10314,07/09/2018,08/30/2019,2018
83829,BIGGIE,M,2006,Unknown,,10038,07/09/2018,08/30/2019,2018
83830,PEBBLES,F,2004,Shih Tzu,,10312,07/09/2018,08/30/2019,2018
83832,HARRIS,M,2008,Unknown,,10025,07/09/2018,08/30/2019,2018
83855,RANGER,M,2004,Unknown,,10026,07/09/2018,08/30/2019,2018
83901,SIMBA,M,2002,Lhasa Apso,,11379,07/10/2018,08/30/2019,2018
83902,LORDSTANLY,M,2005,Unknown,,10028,07/10/2018,08/30/2019,2018
83928,SHASHA,F,2004,Yorkshire Terrier,,11215,07/10/2018,08/30/2019,2018
83944,REMY,M,2006,Puggle,,11206,07/10/2018,08/30/2019,2018
83986,COCO,M,2004,Yorkshire Terrier,,11215,07/10/2018,08/30/2019,2018
84014,NICO,M,2005,Bichon Frise,,10458,07/10/2018,08/30/2019,2018
84015,CASHEL,M,2004,"Poodle, Toy",,10025,07/10/2018,08/30/2019,2018
84043,KELLY,F,2005,Beagle,,10309,07/10/2018,08/30/2019,2018
84103,LACY,F,2000,Maltese,,10312,07/11/2018,08/30/2019,2018
84104,BUDDY,M,2002,Yorkshire Terrier,,11366,07/11/2018,08/30/2019,2018
84105,FIONA,F,2005,Unknown,,10025,07/11/2018,08/30/2019,2018
84107,LADY,F,2008,Chihuahua,,11206,07/11/2018,08/30/2019,2018
84132,WINSTON,M,2003,Unknown,,11209,07/11/2018,08/30/2019,2018
84202,COCO,F,2005,Unknown,,10021,07/11/2018,08/30/2019,2018
84216,SPOOKA,M,2011,Collie Crossbreed,,10455,07/11/2018,08/30/2019,2018
84243,COSMO,M,2005,Unknown,,11372,07/12/2018,08/30/2019,2018
84325,SASHA,F,2006,Unknown,,11225,07/12/2018,08/30/2019,2018
84362,GYA,F,2007,"Poodle, Toy",,10065,07/12/2018,08/30/2019,2018
84368,ROXY,F,2006,Unknown,,11435,07/12/2018,08/30/2019,2018
84397,SCRUFFY,F,2002,"Poodle, Toy",,11231,07/13/2018,08/30/2019,2018
84424,BELLA,F,2005,Unknown,,11414,07/13/2018,08/30/2019,2018
84457,FLOEY,F,2007,Bichon Frise,,11366,07/13/2018,08/30/2019,2018
84458,SOPHIE,F,2005,Shih Tzu,,10301,07/13/2018,08/30/2019,2018
